Package_Name,License,Authors/Maintainers
aiobotocore,Apache-2.0,Nikolay Novik nickolainovik@gmail.com
aws-xray-sdk,Apache-2.0,AWS
aws-requests-auth,BSD,davehmuller@gmail.com
bcrypt,Apache-2.0,cryptography-dev@python.org
beautifulsoup4,MIT,Leonard Richardson <leonardr@segfault.org>
boto3,Apache-2.0,AWS
cryptography,Apache-2.0,The Python Cryptographic Authority and individual contributors <cryptography-dev@python.org>
DBnomics,GNU Affero General Public License v3 (AGPLv3),DBnomics Team <contact@nomics.world>
dynamodb-encryption-sdk,Apache-2.0,<aws-cryptools@amazon.com>
idna,https://github.com/kjd/idna/blob/master/LICENSE.rst,Kim Davis kim@cynosure.com.au
jinja2,BSD,Armin Ronache <armin.ronacher@active-4.com>; Pallets <contact@palletsprojects.com>
numpy,https://www.numpy.org/license.html,numpy-discussion@python.org
pandas,BSD,<pydata@googlegroups.com>
pendulum,MIT,<sebastien@eustace.io>
pycountry,GNU Lesser General Public License v2 (LGPLv2) (LGPL 2.1),Christian Theune <ct@flyingcircus.io>
pydantic[email],https://github.com/samuelcolvin/pydantic/blob/master/LICENSE,Samuel Colvin <samcolvin@gmail.com>
pysftp,BSD,Jeff Hinrichs <jeffh@dundeemt.com>
pymongo,Apache-2.0,Bernie Hackett <bernie@mongodb.com>
pyqldb,Apache-2.0,AWS
PyYAML,MIT,Kirril Simonov <xi@resolvent.net>
redshift-connector,Apache License Version 2.0,Amazon Web Services <redshift-drivers@amazon.com>
requests,Apache-2.0,Kenneth Reitz <me@kennethreitz.org>
requests-html,MIT,<me@kennethreitz.org>
SQLAlchemy,MIT,Mike Bayer <mike_mp@zzzcomputing.com>
sympy,https://github.com/sympy/sympy/blob/master/LICENSE,https://github.com/sympy/sympy/blob/master/AUTHORS
twilio,MIT,twilio <help@twilio.com>
dropbox,MIT,Dropbox <dev-platform@dropbox.com>
praw,BSD,Bryce Boe <bbzbryce@gmail.com>
pygsheets,MIT,Nithin Murali <imnmfotmal@gmail.com>
astropy,BSD,Astropy Collaboration <astropy@python.org>
mysql-connector-python,GNU GPLv2,Oracle
Metaphone,BSD,Andrew Collins <AtomBoy@SWCP.com>
usaddress,MIT,Datamade <info@datamade.us>
pyephem,MIT,Brandon Craig Rhodes <brandon@rhodesmill.org>
gremlinpython,Apache-2.0,stephen mallette <stepmall@amazon.com>
oracledb,Apache-2.0,anthony-tuininga (Oracle)
rasa,Apache-2.0,Tom Bocklisch - Rasa Technologies GmbH,tom@rasa.com
PyJWT,MIT,Jose Padilla <https://github.com/jpadilla>
kafka-python,Apache-2.0,Dana Powers
lxml,BSD,<lxml-dev@lxml.de>
sklearn,BSD,<scikit-learn@python.org>
transformers,Apache-2.0,Thomas Wolf,<api-enterprise@huggingface.co>
selenium,Apache-2.0,The Selenium Project
jieba,MIT,Sun Junyi, <ccnusjy@gmail.com>
